id,semester,subjects,downloadLink
2,"SEMESTER I","Imperative Programming",https://drive.google.com/open?id=1ilhGE7cBf42UHtWeUJsK7bULpfkwv0E2
3,"SEMESTER I","Digital Electronics",https://drive.google.com/open?id=1L9TYf9f_Fv2Tm2JQ-itLck_o2iCglqV1
4,"SEMESTER I","Operating System",https://drive.google.com/open?id=1T8rtPMnXWM5uuwJ175nSxWiLtGYGX9mZ
5,"SEMESTER I","Discrete Mathematics",https://drive.google.com/open?id=17ZUZePanE9mIVel8ykcvzXa0sxjzvI7w
6,"SEMESTER I","Communication Skills",https://drive.google.com/open?id=1zrj1PeTGbeb0UmUgxGK5frvSMHlQSbni
7,"SEMESTER I","Imperative Programming Practical",https://drive.google.com/open?id=1MEWKg_YJK_5eJ3iMxAO-eAT6cFxeZfXb
8,"SEMESTER I","Digital Electronics Practical",https://drive.google.com/open?id=1Vqtic11sPfmfjRxiBqfRB8NjgjH-O2iN
9,"SEMESTER I","Operating System Practical",https://drive.google.com/open?id=1gU1s9PnqzOneQ5Hqd13zsMNgxT0c2Yvd
10,"SEMESTER I","Discrete Mathematics Practical",https://drive.google.com/open?id=1S9novUSo4Mx1ycLOUc2gcuMZvUkjflRI
11,"SEMESTER I","Communication Skills Practical",https://drive.google.com/open?id=1qbnHi9-cVMFxs0ahBtrP0ldIgCwxdLKh
12,"SEMESTER II","Object Oriented Programming",https://drive.google.com/open?id=1KbMs5QRrfMDDAAlhdFBAaBR3QWoZXAut
13,"SEMESTER II","Microprocessor Architecture",https://drive.google.com/open?id=1f64KApTdEW-QfzxNQ0XVrJMLLy2PQDaZ
14,"SEMESTER II","Web Programming",https://drive.google.com/open?id=14SztTYyvfd3eqriDfHAGXaJDJlvYZ1dC
15,"SEMESTER II","Numerical and Statistical Methods",https://drive.google.com/open?id=1W2vfLW6sQnRgCc7LbctBfHr9cDbgUc2-
16,"SEMESTER II","Green Computing",https://drive.google.com/open?id=1YYVYvchieba3Xx5Y3I8na0E9LThNeguI
17,"SEMESTER II","Object Oriented Programming Practical",https://drive.google.com/open?id=1anqXjxZHOluaiUvEcvq3bCoCv8KR_18X
18,"SEMESTER II","Microprocessor Architecture Practical",https://drive.google.com/open?id=12wac0eINJ1iRCMao7Mtr5NvenosEbIpE
19,"SEMESTER II","Web Programming Practical",https://drive.google.com/open?id=1s8KdoP5NeWqioNJ-LJi2B6vknz3Lb2m4
20,"SEMESTER II","Numerical and Statistical Methods Practical",https://drive.google.com/open?id=1eTeYsio5qTgv1Ob_1QzI4tTJijLEe8a9
21,"SEMESTER II","Green Computing Practical",https://drive.google.com/open?id=1PtdiD-B7KFNBmjnMVc05_Hf8hLMqvcR5
22,"SEMESTER III","Python Programming",https://drive.google.com/open?id=13owlaK2Wf61vWkydC-w47WcGYWMv5a3v
23,"SEMESTER III","Data structures",https://drive.google.com/open?id=182vGo1dc3UxrCwcsIi4PBS203sc-5_G3
24,"SEMESTER III","Computer Networks",https://drive.google.com/open?id=1x-jDiLrkC59zRCQZe-p6JBiZ_4hMXX-5
25,"SEMESTER III","Database Management System",https://drive.google.com/open?id=1D_u0JbCnUJcj3IV97ccsanX0xsCLXme4
26,"SEMESTER III","Applied Mathematics",https://drive.google.com/open?id=1iop8GxV34tuUEKN1QiP3Vus_3m3hQ06P
27,"SEMESTER III","Python Programming Practical",https://drive.google.com/open?id=1mL1QkJlvr1paFUiJtVjx5HOfXRF6Y2xM
28,"SEMESTER III","Data structures Practical",https://drive.google.com/open?id=11XlR2iL8vgh_yjWwzkZOewGFWSay5pN9
29,"SEMESTER III","Computer Networks Practical",https://drive.google.com/open?id=1qMmLTCrPAVq4NvBcuUt6oWHJNRyWw5lz
30,"SEMESTER III","Database Management System Practical",https://drive.google.com/open?id=1Cu8k7FegLDd0tzC64EQTHX3dom2OPOrZ
32,"SEMESTER IV","Core Java",https://drive.google.com/open?id=1_leom2ek9HOoZMKH62jkmNiJ0CU4xvop
33,"SEMESTER IV","Introduction to Embedded Systems",https://drive.google.com/open?id=15z4wFKvKBBcum91rlovV6_uVoYpM0mz8
34,"SEMESTER IV","Computer Oriented Statistical Techniques",https://drive.google.com/open?id=1i_17doHx1UCdDokpNdBa6seKGvfwPSFb
35,"SEMESTER IV","Software Engineering",https://drive.google.com/open?id=1RdZckVjPsBQUtic7g6O5R6UFE-ZwiPh2
36,"SEMESTER IV","Computer Graphics and Animation",https://drive.google.com/open?id=1r50J-15irlTKoxe3FhUy3XPf9uy1G9Ir
37,"SEMESTER IV","Core Java Practical",https://drive.google.com/open?id=15z4wFKvKBBcum91rlovV6_uVoYpM0mz8
38,"SEMESTER IV","Introduction to Embedded Systems Practical",https://drive.google.com/open?id=1XvC3Y9GAj8M3qjp3EvvjyJ-zCXqwGfTS
39,"SEMESTER IV","Computer Oriented Statistical Techniques Practical",https://drive.google.com/open?id=17GXhEA8ZMlOTTq-B4QRWAUsKdeSqTko-
40,"SEMESTER IV","Software Engineering Practical",https://drive.google.com/open?id=1G1GEVfN_dE7mE9JRp2Dhc-M_dbhkMn0I
41,"SEMESTER IV","Computer Graphics and Animation Practical",https://drive.google.com/open?id=1wfkTDAGHEyV9WgBrgCM1NvrtxnZOxOLf
42,"SEMESTER V","Software Project Management",https://drive.google.com/open?id=1WooHGbgEftaqmHS7SBWaRSFGBLVPGRwh
43,"SEMESTER V","Internet of Things",https://drive.google.com/open?id=1yPqw89R98LZGzgELeCzJhdp2iNvidl6s
44,"SEMESTER V","Advanced Web Programming",https://drive.google.com/open?id=1cr5C589cRhRVpcS6T-YnXWI6Qw2PWe0-
45,"SEMESTER V","Artificial Intelligence",https://drive.google.com/open?id=1Z0kBUlwqFWm7efSBOP1PCaXqtBBS6IbL
46,"SEMESTER V","Enterprise Java",https://drive.google.com/open?id=1F8jHxTIE0uQT0Vlx2RbV5i2mggo6nvnV
47,"SEMESTER V","Software Project Management Practical",https://drive.google.com/open?id=1rJrEXYPyJ0Y0hiVpferOy0cWwFvNZQzx
48,"SEMESTER V","Internet of Things Practical",https://drive.google.com/open?id=1hNPBCJaAUtFE6oMSFd5YdWDyvpxacp4U
49,"SEMESTER V","Advanced Web Programming Practical",https://drive.google.com/open?id=1JhwG-nCuV9iHNRwLGJohd7HeoxeMB1Sx
50,"SEMESTER V","Artificial Intelligence Practical",https://drive.google.com/open?id=1Go52w9kSEj5NlTibnNeukvgkUNdzkE8n
51,"SEMESTER V","Enterprise Java Practical",https://drive.google.com/open?id=1Bdp0Mo8s_14B94ElIWn9U-uvB-zaRfly
52,"SEMESTER VI","Software Quality Assurance",https://drive.google.com/open?id=1MH4c8uq4qeSH8FsX0LIqA0WJvvmZ9QAx
53,"SEMESTER VI","Security in Computing",https://drive.google.com/open?id=15J0u0MwymJusmbs_qhfW5sB0b2Zd_o4J
54,"SEMESTER VI","Business Intelligence",https://drive.google.com/open?id=14LFqGN90m6-AXjODUTS_YeaJXntRnoYb
55,"SEMESTER VI","Enterprise Networking",https://drive.google.com/open?id=1NqF1vIZOULyZkPGY9d9g1IeUV-EyXKPj
56,"SEMESTER VI","Cyber Laws",https://drive.google.com/open?id=16vaiP3MCCqtG-qpSDIXdWaxk5mGX8uHB
57,"SEMESTER VI","Software Quality Assurance Practical",https://drive.google.com/open?id=1rJrEXYPyJ0Y0hiVpferOy0cWwFvNZQzx
58,"SEMESTER VI","Security in Computing Practical",https://drive.google.com/open?id=1T0aPGpxKNI0X8ZHgawmxhT0o91m5pB7j
59,"SEMESTER VI","Business Intelligence Practical",https://drive.google.com/open?id=1aD1_waTgfC4huIojsYJJZHxEX0RJrhPU
60,"SEMESTER VI","Enterprise Networking Practical",https://drive.google.com/open?id=1lmgApBnFv5IeV58cB6uiNZFggdMYFnYN
